State,Year,Electoral Vote
,,
,,
,,
,,
Alabama,1976,9
Alabama,1980,9
Alabama,1984,9
Alabama,1988,9
Alabama,1992,9
Alabama,1996,9
Alabama,2000,9
Alabama,2004,9
Alabama,2008,9
Alabama,2012,9
Alabama,2016,9
Alabama,2020,9
,,
,,
,,
,,
Alaska,1976,3
Alaska,1980,3
Alaska,1984,3
Alaska,1988,3
Alaska,1992,3
Alaska,1996,3
Alaska,2000,3
Alaska,2004,3
Alaska,2008,3
Alaska,2012,3
Alaska,2016,3
Alaska,2020,3
,,
,,
,,
,,
Arizona,1976,6
Arizona,1980,6
Arizona,1984,7
Arizona,1988,7
Arizona,1992,8
Arizona,1996,8
Arizona,2000,8
Arizona,2004,10
Arizona,2008,10
Arizona,2012,11
Arizona,2016,11
Arizona,2020,11
,,
,,
,,
,,
Arkansas,1976,6
Arkansas,1980,6
Arkansas,1984,6
Arkansas,1988,6
Arkansas,1992,6
Arkansas,1996,6
Arkansas,2000,6
Arkansas,2004,6
Arkansas,2008,6
Arkansas,2012,6
Arkansas,2016,6
Arkansas,2020,6
,,
,,
,,
,,
California,1976,45
California,1980,45
California,1984,47
California,1988,47
California,1992,54
California,1996,54
California,2000,54
California,2004,55
California,2008,55
California,2012,55
California,2016,55
California,2020,55
,,
,,
,,
,,
Colorado,1976,7
Colorado,1980,7
Colorado,1984,8
Colorado,1988,8
Colorado,1992,8
Colorado,1996,8
Colorado,2000,8
Colorado,2004,9
Colorado,2008,9
Colorado,2012,9
Colorado,2016,9
Colorado,2020,9
,,
,,
,,
,,
Connecticut,1976,8
Connecticut,1980,8
Connecticut,1984,8
Connecticut,1988,8
Connecticut,1992,8
Connecticut,1996,8
Connecticut,2000,8
Connecticut,2004,7
Connecticut,2008,7
Connecticut,2012,7
Connecticut,2016,7
Connecticut,2020,7
,,
,,
,,
,,
D.C.,1976,3
D.C.,1980,3
D.C.,1984,3
D.C.,1988,3
D.C.,1992,3
D.C.,1996,3
D.C.,2000,3
D.C.,2004,3
D.C.,2008,3
D.C.,2012,3
D.C.,2016,3
D.C.,2020,3
,,
,,
,,
,,
Delaware,1976,3
Delaware,1980,3
Delaware,1984,3
Delaware,1988,3
Delaware,1992,3
Delaware,1996,3
Delaware,2000,3
Delaware,2004,3
Delaware,2008,3
Delaware,2012,3
Delaware,2016,3
Delaware,2020,3
,,
,,
,,
,,
Florida,1976,17
Florida,1980,17
Florida,1984,21
Florida,1988,21
Florida,1992,25
Florida,1996,25
Florida,2000,25
Florida,2004,27
Florida,2008,27
Florida,2012,29
Florida,2016,29
Florida,2020,29
,,
,,
,,
,,
Georgia,1976,12
Georgia,1980,12
Georgia,1984,12
Georgia,1988,12
Georgia,1992,13
Georgia,1996,13
Georgia,2000,13
Georgia,2004,15
Georgia,2008,15
Georgia,2012,16
Georgia,2016,16
Georgia,2020,16
,,
,,
,,
,,
Hawaii,1976,4
Hawaii,1980,4
Hawaii,1984,4
Hawaii,1988,4
Hawaii,1992,4
Hawaii,1996,4
Hawaii,2000,4
Hawaii,2004,4
Hawaii,2008,4
Hawaii,2012,4
Hawaii,2016,4
Hawaii,2020,4
,,
,,
,,
,,
Idaho,1976,4
