county,year,race,sex,total
Alamance,2000,aian,female,274
Alexander,2000,aian,female,18
Alleghany,2000,aian,female,10
Anson,2000,aian,female,41
Ashe,2000,aian,female,27
Avery,2000,aian,female,23
Beaufort,2000,aian,female,43
Bertie,2000,aian,female,37
Bladen,2000,aian,female,359
Brunswick,2000,aian,female,281
Buncombe,2000,aian,female,374
Burke,2000,aian,female,142
Cabarrus,2000,aian,female,236
Caldwell,2000,aian,female,87
Camden,2000,aian,female,13
Carteret,2000,aian,female,129
Caswell,2000,aian,female,19
Catawba,2000,aian,female,196
Chatham,2000,aian,female,121
Cherokee,2000,aian,female,204
Chowan,2000,aian,female,20
Clay,2000,aian,female,18
Cleveland,2000,aian,female,68
Columbus,2000,aian,female,881
Craven,2000,aian,female,189
Cumberland,2000,aian,female,2449
Currituck,2000,aian,female,46
Dare,2000,aian,female,43
Davidson,2000,aian,female,307
Davie,2000,aian,female,44
Duplin,2000,aian,female,87
Durham,2000,aian,female,374
Edgecombe,2000,aian,female,71
Forsyth,2000,aian,female,487
Franklin,2000,aian,female,108
Gaston,2000,aian,female,282
Gates,2000,aian,female,19
Graham,2000,aian,female,281
Granville,2000,aian,female,75
Greene,2000,aian,female,30
Guilford,2000,aian,female,1067
Halifax,2000,aian,female,895
Harnett,2000,aian,female,413
Haywood,2000,aian,female,127
Henderson,2000,aian,female,136
Hertford,2000,aian,female,153
Hoke,2000,aian,female,2046
Hyde,2000,aian,female,4
Iredell,2000,aian,female,189
Jackson,2000,aian,female,1718
Johnston,2000,aian,female,275
Jones,2000,aian,female,21
Lee,2000,aian,female,114
Lenoir,2000,aian,female,65
Lincoln,2000,aian,female,82
Macon,2000,aian,female,43
Madison,2000,aian,female,24
Martin,2000,aian,female,45
McDowell,2000,aian,female,64
Mecklenburg,2000,aian,female,1349
Mitchell,2000,aian,female,34
Montgomery,2000,aian,female,64
Moore,2000,aian,female,267
Nash,2000,aian,female,202
New Hanover,2000,aian,female,328
Northampton,2000,aian,female,28
Onslow,2000,aian,female,497
Orange,2000,aian,female,239
Pamlico,2000,aian,female,35
Pasquotank,2000,aian,female,62
Pender,2000,aian,female,95
Perquimans,2000,aian,female,10
Person,2000,aian,female,110
Pitt,2000,aian,female,210
Polk,2000,aian,female,21
Randolph,2000,aian,female,306
Richmond,2000,aian,female,411
Robeson,2000,aian,female,24503
Rockingham,2000,aian,female,144
Rowan,2000,aian,female,204
Rutherford,2000,aian,female,45
Sampson,2000,aian,female,600
Scotland,2000,aian,female,1687
Stanly,2000,aian,female,68
Stokes,2000,aian,female,60
Surry,2000,aian,female,87
Swain,2000,aian,female,1962
Transylvania,2000,aian,female,39
Tyrrell,2000,aian,female,3
Union,2000,aian,female,248
Vance,2000,aian,female,52
Wake,2000,aian,female,1218
Warren,2000,aian,female,502
Washington,2000,aian,female,4
Watauga,2000,aian,female,56
Wayne,2000,aian,female,192
Wilkes,2000,aian,female,42
Wilson,2000,aian,female,96
Yadkin,2000,aian,female,30
Yancey,2000,aian,female,35
Alamance,2000,asian,female,652
Alexander,2000,asian,female,181
Alleghany,2000,asian,female,7
Anson,2000,asian,female,85
Ashe,2000,asian,female,41
Avery,2000,asian,female,17
Beaufort,2000,asian,female,69
Bertie,2000,asian,female,13
Bladen,2000,asian,female,27
Brunswick,2000,asian,female,132
Buncombe,2000,asian,female,794
Burke,2000,asian,female,1663
Cabarrus,2000,asian,female,680
Caldwell,2000,asian,female,171
Camden,2000,asian,female,23
Carteret,2000,asian,female,246
Caswell,2000,asian,female,26
Catawba,2000,asian,female,2216
Chatham,2000,asian,female,176
Cherokee,2000,asian,female,43
Chowan,2000,asian,female,24
Clay,2000,asian,female,6
Cleveland,2000,asian,female,370
Columbus,2000,asian,female,79
Craven,2000,asian,female,637
Cumberland,2000,asian,female,4244
Currituck,2000,asian,female,50
Dare,2000,asian,female,75
Davidson,2000,asian,female,713
Davie,2000,asian,female,72
Duplin,2000,asian,female,78
Durham,2000,asian,female,3779
Edgecombe,2000,asian,female,59
Forsyth,2000,asian,female,1770
Franklin,2000,asian,female,105
Gaston,2000,asian,female,979
Gates,2000,asian,female,17
Graham,2000,asian,female,8
Granville,2000,asian,female,84
Greene,2000,asian,female,11
Guilford,2000,asian,female,5464
Halifax,2000,asian,female,157
Harnett,2000,asian,female,432
Haywood,2000,asian,female,90
Henderson,2000,asian,female,329
Hertford,2000,asian,female,50
Hoke,2000,asian,female,213
Hyde,2000,asian,female,15
Iredell,2000,asian,female,821
Jackson,2000,asian,female,86
Johnston,2000,asian,female,256
Jones,2000,asian,female,20
Lee,2000,asian,female,238
Lenoir,2000,asian,female,124
Lincoln,2000,asian,female,123
Macon,2000,asian,female,70
Madison,2000,asian,female,32
Martin,2000,asian,female,34
McDowell,2000,asian,female,204
Mecklenburg,2000,asian,female,11554
Mitchell,2000,asian,female,21
Montgomery,2000,asian,female,249
Moore,2000,asian,female,238
Nash,2000,asian,female,257
New Hanover,2000,asian,female,792
Northampton,2000,asian,female,12
Onslow,2000,asian,female,1811
Orange,2000,asian,female,2551
Pamlico,2000,asian,female,34
Pasquotank,2000,asian,female,163
Pender,2000,asian,female,59
Perquimans,2000,asian,female,16
Person,2000,asian,female,31
Pitt,2000,asian,female,827
Polk,2000,asian,female,29
Randolph,2000,asian,female,478
Richmond,2000,asian,female,160
Robeson,2000,asian,female,261
Rockingham,2000,asian,female,166
Rowan,2000,asian,female,596
Rutherford,2000,asian,female,119
Sampson,2000,asian,female,155
Scotland,2000,asian,female,111
Stanly,2000,asian,female,530
Stokes,2000,asian,female,74
Surry,2000,asian,female,241
Swain,2000,asian,female,13
Transylvania,2000,asian,female,81
Tyrrell,2000,asian,female,19
Union,2000,asian,female,427
Vance,2000,asian,female,98
Wake,2000,asian,female,11137
Warren,2000,asian,female,13
Washington,2000,asian,female,29
Watauga,2000,asian,female,151
Wayne,2000,asian,female,746
Wilkes,2000,asian,female,132
Wilson,2000,asian,female,170
Yadkin,2000,asian,female,56
Yancey,2000,asian,female,17
Alamance,2000,black,female,13456
Alexander,2000,black,female,830
Alleghany,2000,black,female,61
Anson,2000,black,female,6346
Ashe,2000,black,female,73
Avery,2000,black,female,32
Beaufort,2000,black,female,7099
Bertie,2000,black,female,6681
Bladen,2000,black,female,6632
Brunswick,2000,black,female,5638
Buncombe,2000,black,female,8160
Burke,2000,black,female,2624
Cabarrus,2000,black,female,8581
Caldwell,2000,black,female,2142
Camden,2000,black,female,618
Carteret,2000,black,female,2106
Caswell,2000,black,female,4261
Catawba,2000,black,female,6299
Chatham,2000,black,female,4562
Cherokee,2000,black,female,192
Chowan,2000,black,female,3003
Clay,2000,black,female,40
Cleveland,2000,black,female,10820
Columbus,2000,black,female,9053
Craven,2000,black,female,11977
Cumberland,2000,black,female,55514
Currituck,2000,black,female,680
Dare,2000,black,female,383
Davidson,2000,black,female,7256
Davie,2000,black,female,1234
Duplin,2000,black,female,7784
Durham,2000,black,female,48719
Edgecombe,2000,black,female,17580
Forsyth,2000,black,female,43299
Franklin,2000,black,female,7557
Gaston,2000,black,female,14386
Gates,2000,black,female,2149
Graham,2000,black,female,5
Granville,2000,black,female,8040
Greene,2000,black,female,3854
Guilford,2000,black,female,67415
Halifax,2000,black,female,15930
Harnett,2000,black,female,10820
Haywood,2000,black,female,357
Henderson,2000,black,female,1373
Hertford,2000,black,female,7425
Hoke,2000,black,female,6568
Hyde,2000,black,female,893
Iredell,2000,black,female,9158
Jackson,2000,black,female,278
Johnston,2000,black,female,10182
Jones,2000,black,female,1993
Lee,2000,black,female,5372
Lenoir,2000,black,female,13166
Lincoln,2000,black,female,2157
Macon,2000,black,female,122
Madison,2000,black,female,48
Martin,2000,black,female,6405
McDowell,2000,black,female,718
Mecklenburg,2000,black,female,106223
Mitchell,2000,black,female,20
Montgomery,2000,black,female,2889
Moore,2000,black,female,6270
Nash,2000,black,female,15955
New Hanover,2000,black,female,14996
Northampton,2000,black,female,6948
Onslow,2000,black,female,13466
Orange,2000,black,female,8751
Pamlico,2000,black,female,1516
Pasquotank,2000,black,female,7338
Pender,2000,black,female,4987
Perquimans,2000,black,female,1735
Person,2000,black,female,5429
Pitt,2000,black,female,24974
Polk,2000,black,female,568
Randolph,2000,black,female,3867
Richmond,2000,black,female,7375
Robeson,2000,black,female,16479
Rockingham,2000,black,female,9630
Rowan,2000,black,female,10736
Rutherford,2000,black,female,3696
Sampson,2000,black,female,9504
Scotland,2000,black,female,7354
Stanly,2000,black,female,3361
Stokes,2000,black,female,1071
Surry,2000,black,female,1554
Swain,2000,black,female,85
Transylvania,2000,black,female,608
Tyrrell,2000,black,female,709
Union,2000,black,female,8269
Vance,2000,black,female,11336
Wake,2000,black,female,67493
Warren,2000,black,female,5563
Washington,2000,black,female,3632
Watauga,2000,black,female,330
Wayne,2000,black,female,19856
Wilkes,2000,black,female,1415
Wilson,2000,black,female,15909
Yadkin,2000,black,female,645
Yancey,2000,black,female,48
Alamance,2000,other,female,540
Alexander,2000,other,female,104
Alleghany,2000,other,female,31
Anson,2000,other,female,45
Ashe,2000,other,female,47
Avery,2000,other,female,54
Beaufort,2000,other,female,121
Bertie,2000,other,female,29
Bladen,2000,other,female,102
Brunswick,2000,other,female,286
Buncombe,2000,other,female,999
Burke,2000,other,female,322
Cabarrus,2000,other,female,449
Caldwell,2000,other,female,224
Camden,2000,other,female,30
Carteret,2000,other,female,266
Caswell,2000,other,female,70
Catawba,2000,other,female,496
Chatham,2000,other,female,189
Cherokee,2000,other,female,135
Chowan,2000,other,female,41
Clay,2000,other,female,22
Cleveland,2000,other,female,297
Columbus,2000,other,female,189
Craven,2000,other,female,578
Cumberland,2000,other,female,3584
Currituck,2000,other,female,76
Dare,2000,other,female,123
Davidson,2000,other,female,484
Davie,2000,other,female,109
Duplin,2000,other,female,122
Durham,2000,other,female,1272
Edgecombe,2000,other,female,119
Forsyth,2000,other,female,1455
Franklin,2000,other,female,164
Gaston,2000,other,female,665
Gates,2000,other,female,42
Graham,2000,other,female,39
Granville,2000,other,female,137
Greene,2000,other,female,48
Guilford,2000,other,female,2067
Halifax,2000,other,female,173
Harnett,2000,other,female,505
Haywood,2000,other,female,159
Henderson,2000,other,female,330
Hertford,2000,other,female,80
Hoke,2000,other,female,275
Hyde,2000,other,female,16
Iredell,2000,other,female,405
Jackson,2000,other,female,201
Johnston,2000,other,female,351
Jones,2000,other,female,45
Lee,2000,other,female,154
Lenoir,2000,other,female,135
Lincoln,2000,other,female,192
Macon,2000,other,female,83
Madison,2000,other,female,47
Martin,2000,other,female,55
McDowell,2000,other,female,131
Mecklenburg,2000,other,female,3143
Mitchell,2000,other,female,42
Montgomery,2000,other,female,79
Moore,2000,other,female,291
Nash,2000,other,female,303
New Hanover,2000,other,female,657
Northampton,2000,other,female,56
Onslow,2000,other,female,1709
Orange,2000,other,female,828
Pamlico,2000,other,female,31
Pasquotank,2000,other,female,185
Pender,2000,other,female,147
Perquimans,2000,other,female,32
Person,2000,other,female,110
Pitt,2000,other,female,517
Polk,2000,other,female,55
Randolph,2000,other,female,425
Richmond,2000,other,female,237
Robeson,2000,other,female,677
Rockingham,2000,other,female,274
Rowan,2000,other,female,470
Rutherford,2000,other,female,223
Sampson,2000,other,female,195
Scotland,2000,other,female,226
Stanly,2000,other,female,182
Stokes,2000,other,female,101
Surry,2000,other,female,181
Swain,2000,other,female,133
Transylvania,2000,other,female,155
Tyrrell,2000,other,female,12
Union,2000,other,female,396
Vance,2000,other,female,109
Wake,2000,other,female,3426
Warren,2000,other,female,72
Washington,2000,other,female,48
Watauga,2000,other,female,120
Wayne,2000,other,female,530
Wilkes,2000,other,female,165
Wilson,2000,other,female,210
Yadkin,2000,other,female,81
Yancey,2000,other,female,39
Alamance,2000,white,female,53349
Alexander,2000,white,female,15772
Alleghany,2000,white,female,5296
Anson,2000,white,female,6354
Ashe,2000,white,female,12191
Avery,2000,white,female,8013
Beaufort,2000,white,female,16138
Bertie,2000,white,female,3751
Bladen,2000,white,female,9634
Brunswick,2000,white,female,31110
Buncombe,2000,white,female,97351
Burke,2000,white,female,39909
Cabarrus,2000,white,female,57117
Caldwell,2000,white,female,36829
Camden,2000,white,female,2808
Carteret,2000,white,female,27449
Caswell,2000,white,female,7232
Catawba,2000,white,female,62920
Chatham,2000,white,female,20240
Cherokee,2000,white,female,11942
Chowan,2000,white,female,4585
Clay,2000,white,female,4422
Cleveland,2000,white,female,38437
Columbus,2000,white,female,18198
Craven,2000,white,female,32044
Cumberland,2000,white,female,84125
Currituck,2000,white,female,8344
Dare,2000,white,female,14332
Davidson,2000,white,female,66523
Davie,2000,white,female,16312
Duplin,2000,white,female,16745
Durham,2000,white,female,62110
Edgecombe,2000,white,female,11847
Forsyth,2000,white,female,113241
Franklin,2000,white,female,16177
Gaston,2000,white,female,82070
Gates,2000,white,female,3125
Graham,2000,white,female,3745
Granville,2000,white,female,14874
Greene,2000,white,female,5283
Guilford,2000,white,female,143873
Halifax,2000,white,female,12877
Harnett,2000,white,female,34107
Haywood,2000,white,female,27422
Henderson,2000,white,female,44027
Hertford,2000,white,female,4494
Hoke,2000,white,female,7689
Hyde,2000,white,female,1816
Iredell,2000,white,female,52381
Jackson,2000,white,female,14732
Johnston,2000,white,female,50931
Jones,2000,white,female,3246
Lee,2000,white,female,19106
Lenoir,2000,white,female,17781
Lincoln,2000,white,female,29672
Macon,2000,white,female,15249
Madison,2000,white,female,9798
Martin,2000,white,female,7131
McDowell,2000,white,female,20065
Mecklenburg,2000,white,female,234298
Mitchell,2000,white,female,7889
Montgomery,2000,white,female,9998
Moore,2000,white,female,31873
Nash,2000,white,female,28730
New Hanover,2000,white,female,66448
Northampton,2000,white,female,4408
Onslow,2000,white,female,49873
Orange,2000,white,female,48280
Pamlico,2000,white,female,4783
Pasquotank,2000,white,female,10232
Pender,2000,white,female,15178
Perquimans,2000,white,female,4162
Person,2000,white,female,12785
Pitt,2000,white,female,44069
Polk,2000,white,female,8969
Randolph,2000,white,female,61097
Richmond,2000,white,female,15520
Robeson,2000,white,female,21372
Rockingham,2000,white,female,37413
Rowan,2000,white,female,54053
Rutherford,2000,white,female,28568
Sampson,2000,white,female,19936
Scotland,2000,white,female,9693
Stanly,2000,white,female,25324
Stokes,2000,white,female,21495
Surry,2000,white,female,34323
Swain,2000,white,female,4507
Transylvania,2000,white,female,14350
Tyrrell,2000,white,female,1178
Union,2000,white,female,53498
Vance,2000,white,female,11138
Wake,2000,white,female,235667
Warren,2000,white,female,3957
Washington,2000,white,female,3488
Watauga,2000,white,female,20842
Wayne,2000,white,female,36234
Wilkes,2000,white,female,31570
Wilson,2000,white,female,22244
Yadkin,2000,white,female,17730
Yancey,2000,white,female,8910
Alamance,2000,aian,male,291
Alexander,2000,aian,male,32
Alleghany,2000,aian,male,18
Anson,2000,aian,male,73
Ashe,2000,aian,male,52
Avery,2000,aian,male,40
Beaufort,2000,aian,male,48
Bertie,2000,aian,male,56
Bladen,2000,aian,male,319
Brunswick,2000,aian,male,260
Buncombe,2000,aian,male,466
Burke,2000,aian,male,190
Cabarrus,2000,aian,male,251
Caldwell,2000,aian,male,104
Camden,2000,aian,male,16
Carteret,2000,aian,male,139
Caswell,2000,aian,male,27
Catawba,2000,aian,male,201
Chatham,2000,aian,male,115
Cherokee,2000,aian,male,191
Chowan,2000,aian,male,18
Clay,2000,aian,male,11
Cleveland,2000,aian,male,80
Columbus,2000,aian,male,843
Craven,2000,aian,male,225
Cumberland,2000,aian,male,2445
Currituck,2000,aian,male,41
Dare,2000,aian,male,44
Davidson,2000,aian,male,274
Davie,2000,aian,male,48
Duplin,2000,aian,male,92
Durham,2000,aian,male,472
Edgecombe,2000,aian,male,46
Forsyth,2000,aian,male,560
Franklin,2000,aian,male,110
Gaston,2000,aian,male,269
Gates,2000,aian,male,25
Graham,2000,aian,male,264
Granville,2000,aian,male,163
Greene,2000,aian,male,51
Guilford,2000,aian,male,1041
Halifax,2000,aian,male,941
Harnett,2000,aian,male,457
Haywood,2000,aian,male,141
Henderson,2000,aian,male,148
Hertford,2000,aian,male,128
Hoke,2000,aian,male,1919
