Year,Total,nh_white,nh_black,hispanic,nh_other
2017,10429379,5507334,3267577,1005959,648509
2018,10517912,5513610,3310604,1026838,666860
2019,10606453,5519904,3353707,1047633,685209
2020,10694980,5526117,3396756,1068579,703528
2021,10783482,5532444,3439808,1089357,721873
2022,10872082,5538680,3482880,1110323,740199
2023,10976681,5552076,3530223,1133449,760933
2024,11081413,5565473,3577611,1156625,781704
2025,11186110,5578801,3624928,1179900,802481
2026,11290921,5592222,3672333,1203153,823213
2027,11395652,5605571,3719659,1226424,843998
2028,11500301,5612815,3768409,1252087,866990
2029,11605000,5620055,3817132,1277853,889960
2030,11709700,5627252,3865856,1303596,912996
2031,11814320,5634432,3914610,1329322,935956
2032,11919084,5641656,3963362,1355119,958947
2033,12023254,5643719,4012264,1382846,984425
2034,12127413,5645835,4061135,1410530,1009913
2035,12231591,5647896,4110060,1438232,1035403
2036,12335776,5649969,4158963,1465954,1060890
2037,12439813,5652033,4207867,1493593,1086320
2038,12545091,5651940,4257259,1521973,1113919
2039,12650311,5651766,4306723,1550323,1141499
2040,12755571,5651633,4356133,1578740,1169065
2041,12860757,5651501,4405550,1607044,1196662
2042,12965958,5651350,4454960,1635406,1224242
2043,13073357,5650366,4505687,1663736,1253568
2044,13180713,5649315,4556474,1692046,1282878
2045,13288072,5648276,4607207,1720314,1312275
2046,13395366,5647286,4657895,1748632,1341553
2047,13502759,5646273,4708682,1776881,1370923
2048,13616176,5647515,4762235,1804801,1401625
2049,13729657,5648840,4815753,1832750,1432314
2050,13843252,5650093,4869350,1860674,1463135
2051,13956664,5651320,4922895,1888587,1493862
2052,14070114,5652563,4976495,1916468,1524588
2053,14193170,5658611,5034074,1944057,1556428
2054,14316306,5664709,5091776,1971705,1588116
2055,14439303,5670690,5149427,1999239,1619947
2056,14562295,5676736,5207011,2026891,1651657
2057,14685374,5682804,5264640,2054483,1683447
2058,14820776,5695490,5327458,2082099,1715729
2059,14956200,5708212,5390283,2109751,1747954
2060,15091583,5720911,5453078,2137461,1780133
2061,15226869,5733608,5515872,2165035,1812354
2062,15362279,5746308,5578701,2192664,1844606
