FIPS,area_name,year,age_group,total,total_male,total_female,nh_white_total,nh_white_male,nh_white_female,nh_black_total,nh_black_male,nh_black_female,hispanic_total,hispanic_male,hispanic_female,nh_asian_total,nh_asian_male,nh_asian_female,nh_other_total,nh_other_male,nh_other_female
000,State of Texas,2010,ALL,25145561,12472280,12673281,11397345,5632646,5764699,2886825,1392410,1494415,9460921,4763753,4697168,948426,460855,487571,452044,222616,229428
000,State of Texas,2010,<18,6865824,3510249,3355575,2322661,1193025,1129636,810543,413374,397169,3317777,1693278,1624499,231458,117576,113882,183385,92996,90389
000,State of Texas,2010,18-24,2572969,1321619,1251350,994473,506474,487999,323437,161755,161682,1112368,580812,531556,92536,48072,44464,50155,24506,25649
000,State of Texas,2010,25-44,7071855,3544857,3526998,2934239,1478661,1455578,841640,403524,438116,2844435,1445962,1398473,339915,163030,176885,111626,53680,57946
000,State of Texas,2010,45-64,6033027,2959891,3073136,3385907,1674984,1710923,692831,326935,365896,1653420,815272,838148,219216,102787,116429,81653,39913,41740
000,State of Texas,2010,65+,2601886,1135664,1466222,1760065,779502,980563,218374,86822,131552,532921,228429,304492,65301,29390,35911,25225,11521,13704
000,State of Texas,2011,ALL,25567291,12684177,12883114,11473189,5672925,5800264,2948232,1422595,1525637,9681249,4873297,4807952,995813,484336,511477,468808,231024,237784
000,State of Texas,2011,<18,6913506,3532881,3380625,2316574,1189716,1126858,812767,414237,398530,3353179,1710072,1643107,241837,122865,118972,189149,95991,93158
000,State of Texas,2011,18-24,2627419,1350859,1276560,1000428,511368,489060,337509,169789,167720,1139722,593485,546237,96449,50086,46363,53311,26131,27180
000,State of Texas,2011,25-44,7176079,3599194,3576885,2949399,1486652,1462747,855729,410771,444958,2900575,1475736,1424839,354993,170466,184527,115383,55569,59814
000,State of Texas,2011,45-64,6166601,3025244,3141357,3409554,1685570,1723984,715296,337228,378068,1725827,852422,873405,231722,108949,122773,84202,41075,43127
000,State of Texas,2011,65+,2683686,1175999,1507687,1797234,799619,997615,226931,90570,136361,561946,241582,320364,70812,31970,38842,26763,12258,14505
000,State of Texas,2012,ALL,25996722,12899473,13097249,11548679,5712731,5835948,3011317,1453567,1557750,9905223,4984546,4920677,1045280,508836,536444,486223,239793,246430
000,State of Texas,2012,<18,6967405,3558867,3408538,2311936,1187354,1124582,817101,416066,401035,3391229,1728285,1662944,252060,128078,123982,195079,99084,95995
000,State of Texas,2012,18-24,2684285,1380783,1303502,1007790,516660,491130,350730,177438,173292,1167486,605963,561523,101683,52660,49023,56596,28062,28534
000,State of Texas,2012,25-44,7286991,3657230,3629761,2966461,1495107,1471354,872278,419227,453051,2957889,1507009,1450880,370742,178409,192333,119621,57478,62143
000,State of Texas,2012,45-64,6245222,3063826,3181396,3390239,1675828,1714411,732684,345107,387577,1792738,886145,906593,243608,114869,128739,85953,41877,44076
000,State of Texas,2012,65+,2812819,1238767,1574052,1872253,837782,1034471,238524,95729,142795,595881,257144,338737,77187,34820,42367,28974,13292,15682
000,State of Texas,2013,ALL,26433242,13118331,13314911,11624174,5752529,5871645,3075723,1485314,1590409,10132148,5097205,5034943,1096888,534427,562461,504309,248856,255453
000,State of Texas,2013,<18,7027477,3588414,3439063,2309009,1185776,1123233,823147,419000,404147,3431337,1747815,1683522,262763,133563,129200,201221,102260,98961
000,State of Texas,2013,18-24,2739590,1408947,1330643,1015475,521917,493558,362018,183986,178032,1195112,617889,577223,106898,55133,51765,60087,30022,30065
000,State of Texas,2013,25-44,7397360,3715948,3681412,2983397,1503554,1479843,890510,428516,461994,3012761,1537686,1475075,386610,186512,200098,124082,59680,64402
000,State of Texas,2013,45-64,6325246,3103296,3221950,3371956,1667362,1704594,748005,351982,396023,1861139,920129,941010,256259,121204,135055,87887,42619,45268
000,State of Texas,2013,65+,2943569,1301726,1641843,1944337,873920,1070417,252043,101830,150213,631799,273686,358113,84358,38015,46343,31032,14275,16757
000,State of Texas,2014,ALL,26876429,13340220,13536209,11699326,5791913,5907413,3141271,1517572,1623699,10361956,5211270,5150686,1150724,561173,589551,523152,258292,264860
000,State of Texas,2014,<18,7092485,3620367,3472118,2307466,1184844,1122622,831376,422798,408578,3472542,1768103,1704439,273516,138988,134528,207585,105634,101951
000,State of Texas,2014,18-24,2789861,1434755,1355106,1021260,526118,495142,369444,188538,180906,1223398,630645,592753,112200,57749,54451,63559,31705,31854
000,State of Texas,2014,25-44,7507912,3774740,3733172,2996971,1510912,1486059,912544,440001,472543,3067032,1567079,1499953,402465,194648,207817,128900,62100,66800
000,State of Texas,2014,45-64,6418979,3150064,3268915,3366717,1665309,1701408,761442,358160,403282,1930539,954806,975733,270330,128180,142150,89951,43609,46342
000,State of Texas,2014,65+,3067192,1360294,1706898,2006912,904730,1102182,266465,108075,158390,668445,290637,377808,92213,41608,50605,33157,15244,17913
000,State of Texas,2015,ALL,27326193,13565260,13760933,11773981,5830835,5943146,3207833,1550340,1657493,10594952,5326926,5268026,1206752,589028,617724,542675,268131,274544
000,State of Texas,2015,<18,7160943,3654621,3506322,2306842,1184344,1122498,840226,427243,412983,3515241,1789264,1725977,284532,144758,139774,214102,109012,105090
000,State of Texas,2015,18-24,2826282,1453543,1372739,1022471,527788,494683,373397,191081,182316,1245395,640549,604846,118296,60770,57526,66723,33355,33368
000,State of Texas,2015,25-44,7611478,3830548,3780930,3005135,1515791,1489344,935451,452221,483230,3119163,1595254,1523909,417756,202577,215179,133973,64705,69268
000,State of Texas,2015,45-64,6530756,3205465,3325291,3369022,1667102,1701920,776920,365133,411787,2007153,993033,1014120,285054,135353,149701,92607,44844,47763
000,State of Texas,2015,65+,3196734,1421083,1775651,2070511,935810,1134701,281839,114662,167177,708000,308826,399174,101114,45570,55544,35270,16215,19055
000,State of Texas,2016,ALL,27782691,13793511,13989180,11848133,5869436,5978697,3275849,1583850,1691999,10830665,5443891,5386774,1265200,618093,647107,562844,278241,284603
000,State of Texas,2016,<18,7232259,3689522,3542737,2308443,1184501,1123942,849605,431770,417835,3557304,1810036,1747268,296055,150700,145355,220852,112515,108337
000,State of Texas,2016,18-24,2854486,1468646,1385840,1019701,527378,492323,375034,192516,182518,1265105,649767,615338,125069,64106,60963,69577,34879,34698
000,State of Texas,2016,25-44,7721843,3890864,3830979,3013502,1521399,1492103,959344,465214,494130,3176460,1626214,1550246,432895,210414,222481,139642,67623,72019
000,State of Texas,2016,45-64,6649141,3263827,3385314,3375952,1671462,1704490,793593,372682,420911,2083051,1030134,1052917,301135,143420,157715,95410,46129,49281
000,State of Texas,2016,65+,3324962,1480652,1844310,2130535,964696,1165839,298273,121668,176605,748745,327740,421005,110046,49453,60593,37363,17095,20268
