Year,nh_white,nh_black,nh_native_am,nh_asian,nh_other,hispanic,total_pop
2018,3850325,274972,282706,239961,141604,2286631,7076199
2019,3882109,280653,285994,248161,144559,2342154,7183628
2020,3910522,286177,288809,256247,147459,2396935,7286148
2021,3937867,291672,291550,264330,150404,2452012,7387836
2022,3964431,297153,294220,272426,153403,2507489,7489121
2023,3990268,302619,296823,280548,156463,2563406,7590127
2024,4015498,308069,299358,288707,159586,2619778,7690995
2025,4040201,313502,301822,296910,162774,2676602,7791810
2026,4062892,318804,304158,305049,165938,2733555,7890396
2027,4085131,324087,306430,313244,169149,2790892,7988933
2028,4106906,329356,308622,321500,172406,2848598,8087387
2029,4128465,334619,310742,329814,175703,2906632,8185974
2030,4150000,339882,312795,338187,179035,2964963,8284861
2031,4171698,345154,314789,346619,182395,3023538,8384193
2032,4193055,350423,316719,355098,185767,3082200,8483263
2033,4214123,355683,318584,363614,189134,3140781,8581918
2034,4235003,360927,320380,372158,192484,3199141,8680093
2035,4255637,366151,322107,380723,195797,3257137,8777552
2036,4276026,371352,323766,389304,199056,3314639,8874143
2037,4296047,376530,325360,397896,202248,3371539,8969619
2038,4315621,381682,326887,406489,205354,3427727,9063760
2039,4334660,386806,328342,415077,208365,3483104,9156354
2040,4353069,391897,329725,423649,211274,3537598,9247212
2041,4371019,396967,331041,432207,214082,3591250,9336566
2042,4388675,402034,332290,440756,216797,3644146,9424698
2043,4406043,407100,333473,449288,219425,3696292,9511620
2044,4423241,412170,334590,457795,221974,3747726,9597496
2045,4440253,417241,335639,466271,224452,3798449,9682306
2046,4457190,422321,336625,474708,226872,3848532,9766248
2047,4474137,427412,337551,483108,229245,3898042,9849495
2048,4491172,432516,338421,491457,231582,3947011,9932159
2049,4508356,437633,339232,499761,233896,3995497,10014375
2050,4525739,442760,339987,508018,236195,4043529,10096228
2051,4543537,447898,340694,516223,238488,4091149,10177990
2052,4561787,453048,341357,524376,240779,4138401,10259748
2053,4580439,458206,341977,532475,243069,4185287,10341454
2054,4599456,463368,342558,540520,245362,4231846,10423110
2055,4618697,468526,343101,548509,247656,4278040,10504530
