Race,Sex,2010,2019,2020,2025,2030,2035,2040,2045
All Races,Total,18802847,21208589,21555986,23130870,24426178,25497950,26428726,27266909
All Races,Female,9613482,10853727,11032858,11847004,12519579,13080136,13571275,14016554
All Races,Male,9189365,10354862,10523128,11283866,11906599,12417814,12857451,13250355
Non-Hispanic White,Total,11066181,11431021,11495917,11784749,12010468,12197756,12354652,12495012
Non-Hispanic White,Female,5643363,5837177,5871498,6025301,6146313,6247876,6335723,6416797
Non-Hispanic White,Male,5422818,5593844,5624419,5759448,5864155,5949880,6018929,6078215
Non-Hispanic Black,Total,2950583,3485482,3562765,3914320,4203575,4438858,4645154,4831343
Non-Hispanic Black,Female,1533460,1815123,1855638,2039596,2190658,2313128,2420320,2516525
Non-Hispanic Black,Male,1417123,1670359,1707127,1874724,2012917,2125730,2224834,2314818
Hispanic,Total,4223842,5606726,5794721,6652665,7371335,7967936,8489599,8959674
Hispanic,Female,2136978,2838232,2933567,3370590,3739451,4048388,4320466,4566827
Hispanic,Male,2086864,2768494,2861154,3282075,3631884,3919548,4169133,4392847
Other,Total,562241,685360,702583,779136,840800,893400,939321,980880
Other,Female,299681,363195,372155,411517,443157,470744,494766,516405
Other,Male,262560,322165,330428,367619,397643,422656,444555,464475
